predicted_midpoint,confidence,actual_age
28.5,99.85,23.5
28.5,74.24,23.5
28.5,74.24,23.5
28.5,56.87,23.5
28.5,95.56,23.5
23.0,76.56,18.0
19.0,44.59,24.0
23.0,99.63,23.0
23.0,98.25,18.0
21.0,98.25,21.0
23.0,99.63,23.0
23.0,98.95,18.0
22.0,83.9,17.0
22.0,98.95,17.0
22.0,98.95,17.0
22.0,83.9,17.0
21.0,98.95,21.0
22.0,98.95,22.0
22.0,98.95,17.0
22.0,83.9,17.0
20.0,88.14,20.0
21.0,96.34,21.0
21.0,93.35,21.0
22.0,97.06,17.0
23.0,36.94,18.0
22.0,51.08,17.0
23.0,36.94,18.0
22.0,51.08,17.0
21.0,96.34,21.0
21.0,88.14,21.0
23.0,97.06,23.0
21.0,93.35,21.0
22.0,36.94,17.0
22.0,46.31,17.0
21.0,93.35,21.0
21.0,96.34,21.0
21.0,88.14,21.0
23.0,97.06,23.0
23.0,57.25,23.0
23.0,99.42,23.0
23.0,59.75,18.0
23.0,59.75,5.0
22.0,57.25,17.0
23.0,99.42,23.0
21.0,47.51,5.0
22.0,57.25,17.0
23.0,99.42,23.0
20.0,47.51,5.0
22.0,57.25,17.0
23.0,99.42,23.0
18.0,47.51,5.0
19.0,35.47,3.0
18.0,99.94,23.0
22.0,72.7,27.0
16.0,66.06,5.0
15.0,83.73,20.0
15.0,85.34,20.0
15.0,85.34,10.0
7.0,47.25,7.0
21.0,82.44,21.0
17.0,83.73,5.0
15.0,85.34,32.0
7.0,47.25,2.0
21.0,82.44,21.0
19.0,87.58,5.0
19.0,85.34,24.0
5.0,47.25,5.0
21.0,82.44,21.0
6.0,47.25,1.0
22.0,82.44,22.0
16.0,86.59,30.0
16.0,86.52,5.0
22.0,82.44,22.0
4.0,47.25,4.0
19.0,86.59,24.0
16.0,87.58,5.0
